time,title,introduce
2014,小森林夏秋篇,那些静得只能听见呼吸的日子里你明白孤独即生活
1993,完美的世界,坏人的好总是比好人的好来得更感人
2010,借东西的小人阿莉埃蒂,曾经的那段美好会沉淀为一辈子的记忆
2004,无人知晓,我的平常生活就是他人的幸福
2014,消失的爱人,年度最佳date movie
1987,倩女幽魂,两张绝世的脸 
2019,寄生虫,
1995,侧耳倾听,少女情怀总是诗
2015,小森林冬春篇,尊敬他人尊敬你生活的这片土地明白孤独是人生的常态
2013,时空恋旅人,把每天当作最后一天般珍惜度过积极拥抱生活就是幸福
2004,幸福终点站,有时候幸福需要等一等 
2010,驯龙高手,和谐的生活离不开摸头与被摸头
1990,教父3,任何信念的力量都无法改变命运
2011,萤火之森,触不到的恋人
2015,一个叫欧维的男人决定去死,惠及一生的美丽
1997,未麻的部屋,好的剧本是就算你猜到了结局也猜不到全部
2001,怪兽电力公司,不要给它起名字起了名字就有感情了
2005,哈利波特与火焰杯,
2010,玩具总动员3,跨度十五年的欢乐与泪水
2005,傲慢与偏见,爱是摈弃傲慢与偏见之后的曙光
2016,釜山行,揭露人性的丧尸题材力作
2013,新世界,要做就做得狠一点这样才能活下去
2010,神偷奶爸,Mr I Dont Care其实也有Care的时候
2009,玛丽和马克思,你是我最好的朋友你是我唯一的朋友 
2012,被解救的姜戈,热血沸腾那个低俗性感的无耻混蛋又来了
2010,告白,没有一人完全善也没有一人完全恶
2003,大鱼,抱着梦想而活着的人是幸福的怀抱梦想而死去的人是不朽的
1979,哪吒闹海,想你时你在闹海
1993,射雕英雄传之东成西就,百看不厌 
2018,头号玩家,写给影迷动漫迷和游戏迷的一封情书
2014,模仿游戏,他给机器起名克里斯托弗因为这是他初恋的名字
2011,阳光姐妹淘,再多各自牛逼的时光也比不上一起傻逼的岁月 
1993,喜宴,中国家庭的喜怒哀乐忍
2001,我是山姆,爱并不需要智商 
2013,恐怖直播,恐怖分子的秋菊打官司
2016,血战钢锯岭,优秀的战争片不会美化战场不会粉饰死亡不会矮化敌人不会无视常识最重要的不会宣扬战争
2000,花样年华,偷情本没有这样美
1994,九品芝麻官,
1954,七武士,时代悲歌
1982,茶馆,
2015,头脑特工队,愿我们都不用长大每一座城堡都能永远存在
2007,色戒,假戏真情爱欲深海
2003,黑客帝国3矩阵革命,不得不说黑客帝国系列是商业片与科幻哲学完美结合的典范
1960,惊魂记,故事的反转与反转分裂电影的始祖
2016,你的名字,穿越错位的时空仰望陨落的星辰你没留下你的名字我却无法忘记那句我爱你
2004,电锯惊魂,真相就在眼前
2017,三块广告牌,怼天怼地你走后她与世界为敌
2013,达拉斯买家俱乐部,Jared Leto的腿比女人还美
2013,疯狂原始人,老少皆宜这就是好莱坞动画的魅力
2014,心迷宫,荒诞讽刺千奇百巧抽丝剥茧百转千回
2004,卢旺达饭店,当这个世界闭上双眼他却敞开了怀抱
2002,上帝之城,被上帝抛弃了的上帝之城
2007,谍影重重3,像吃了苏打饼一样干脆的电影
1986,英雄本色,英雄泪短兄弟情长 
1991,纵横四海,香港浪漫主义警匪动作片的巅峰之作
1984,风之谷,动画片的圣经
2015,海街日记,是枝裕和的家庭习作
2013,爱在午夜降临前,所谓爱情就是话唠一路都不会心生腻烦彼此嫌弃
1999,绿里奇迹,天使暂时离开
2000,记忆碎片,一个针管引发的血案
2010,岁月神偷,岁月流逝来日可追
1987,忠犬八公物语,养狗三日便会对你终其一生
2014,荒蛮故事,始于荒诞止于更荒诞
2006,疯狂的石头,中国版两杆大烟枪
1952,雨中曲,骨灰级歌舞片
2018,小偷家族,我们组成了家
2014,爆裂鼓手,这个世界从不善待努力的人努力了也不一定会成功但是知道自己在努力就是活下去的动力
2012,无敌破坏王,迪士尼和皮克斯拿错剧本的产物
1994,背靠背脸对脸,
1968,2001太空漫游,现代科幻电影的开山之作最伟大导演的最伟大影片
2019,小丑,
2008,贫民窟的百万富翁,上帝之城猜火车阿甘正传开心辞典山寨富翁
2003,无间道2,
2002,冰川时代,松鼠才是角儿
1994,东邪西毒,电影诗
2009,恐怖游轮,不要企图在重复中寻找已经失去的爱
2020,心灵奇旅,
1991,牯岭街少年杀人事件,弱者送给弱者的一刀
2003,真爱至上,爱是个动词
2010,你看起来好像很好吃,感情不分食草或者食肉
2007,遗愿清单,用剩余不多的时间去燃烧整个生命
1989,魔女宅急便,宫崎骏的电影总让人感觉世界是美好的阳光明媚的
2003,东京教父,
2010,黑天鹅,黑暗之美
2017,大佛普拉斯,人们可以登上月球却永远无法探索人们内心的宇宙
2004,可可西里,坚硬的信仰
1931,城市之光,永远的小人物伟大的卓别林
1988,雨人,生活在自己的世界里也可以让周围的人显得可笑和渺小
2011,源代码,邓肯琼斯继月球之后再度奉献出一部精彩绝伦的科幻佳作
2004,恋恋笔记本,爱情没有那么多借口如果不能圆满只能说明爱的不够 
2016,海边的曼彻斯特,我们都有权利不与自己的过去和解
2010,初恋这件小事,黑小鸭速效美白记
2001,人工智能,对爱的执着可以超越一切
1966,虎口脱险,永远看不腻的喜剧
2018,波西米亚狂想曲,
1993,青蛇,人生如此浮生如斯谁人言花彼岸此生情长意短谁都是不懂爱的罢了
1991,终结者2审判日,少见的超越首部的续集动作片中的经典
1950,罗生门,人生的N种可能性
1988,萤火虫之墓,幸福是生生不息却难以触及的远 
2015,疯狂的麦克斯4狂暴之路,多么美好的一天轰轰轰砰咚啪哒哒哒轰隆隆磅
1992,新龙门客栈,嬉笑怒骂调风动月
1997,千钧一发,一部能引人思考的科幻励志片
2017,奇迹男孩,世界不完美爱会有奇迹
2009,无耻混蛋,昆汀同学越来越变态了比北野武还杜琪峰
2008,崖上的波妞,
2015,二十二,有一些东西不应该被遗忘
1991,末路狂花,没有了退路只好飞向自由
2013,彗星来的那一夜,小成本大魅力
2003,黑客帝国2重装上阵,一个精彩的世界观正在缓缓建立
2006,血钻,每个美丽事物背后都是滴血的现实
2015,房间,被偷走的岁月被伤害的生命被禁锢的灵魂终将被希望和善意救赎
2021,花束般的恋爱,
2016,爱乐之城,
2005,战争之王,做一颗让别人需要你的棋子
2008,步履不停,日本的家庭电影已经是世界巅峰了步履不停是巅峰中的佳作
1940,魂断蓝桥,中国式内在的美国电影
2015,火星救援,
1987,芙蓉镇,
2010,哈利波特与死亡圣器上,最忠于原著的一部
2004,谍影重重2,谁说王家卫镜头很晃
2001,千年女优,爱情是一场没有尽头的虚幻追逐
1990,阿飞正传,王家卫是一种风格张国荣是一个代表
1994,燃情岁月,传奇不是每个人都可以拥有
2009,弱点,拍掉身上的悲伤从今天开始重新踏上追梦之旅
2002,谍影重重,哗啦啦啦啦天在下雨哗啦啦啦啦云在哭泣找自己
2008,朗读者,当爱情跨越年龄的界限它似乎能变得更久远一点成为一种责任一种水到渠成的相濡以沫 
2013,再次出发之纽约遇见你,爱我就给我看你的播放列表
2006,香水,一个单凭体香达到高潮的男人
2007,哈利波特与凤凰社,
2009,海洋,大海啊不全是水
2006,穿越时空的少女,爱上未来的你 
2013,白日梦想家,
